comment,Label
Mình mua kèm với đèn mà shop không hề giao luôn.,-2.0
"Shop giao hàng rất nhanh, hàng chất lượng nha shop, mong shop ra nhiều mã khuyến mãi để khách hàng mua sản phẩm của Shop, xin cảm ơn shop.",2.0
Quá chậmmmmm,0.0
Inbox cho shop rất nhiều lần nhờ hỗ trợ nhưng không được ???,-2.0
"Đặt đen mà giao trắng , dây đeo thì to hơn so với tay , shop làm ăn như qq vậy",-2.0
"Đặt mua hành, thanh toán đầy đủ  mà giao thiếu hàng, nhắn tin cho shop thì kêu bận",-2.0
Đặt 3 giao 1 tính tiền 3,-2.0
"Hàng thì oke nhưng cskh và vận chuyển ko xứng đáng 1 nghìn nào 
Tệ đến mức ko thể chấp nhận đc!",0.0
"Đặt mua từ 7.7
Nhận hàng nửa tháng rồi nhưng nay vẫn chưa nhận được bill điện tử
Khi nào nhận được bill thì đánh giá lại.!",0.0
San phâm tệ dây mỏng,-2.0
Hàng như đồ chơi em bé,-2.0
"Loa nhỏ còn hơn loa laptop, mở to thì rè.",-2.0
"Thực sự bên dịch vụ hỗ trợ khá lâu, mình rất thất vọng, đợi hóa đơn gần 1 tháng r mà vẫn chưa có",-2.0
"hàng giao lâu vđ đúng 8 ngày mới nhận đc, giao hàng ngay buổi trưa",0.0
"Hàng như hàng cũ vậy mình mở gói hàng ra thì k có lớp seal trên bề mặt đồng hồ, đồng hồ bé hơn so với hình nhiều",-2.0
Hơi nhỏ so với hình ảnh,-1.0
Săn deal 1k đồng hồ về vứt bỏ ko xài đc. Đồng hồ ko lên pin. Bật hoài mà chả thấy.,-2.0
"Tệ lắm giao Hàn trầy cũ, ko sử dụng được",-2.0
Giao sai hàng.,-2.0
Hàng xấu,-2.0
giao max chậm,0.0
"Lúc đầu mình mua loa bị lỗi không nhận thẻ nhớ shop có hổ trợ mình đổi sang loa khác, shop có hỏi nói với mình sẽ mở ra kiểm tra trước khi giao lần 2 mình tin tưởng shop và thế là thôi rồi, lần thứ 2 giao loa thì bị dơ hộp bị bể như sản phẩm xài rồi, loa còn bị lỗi khi bắt Bluetooth giật giật ",-2.0
Giao hàng nhầm và đã giải quyết theo cách ... :),-2.0
"Shop bán hàng kém chất lượng loa rè mình không nói mình sài đc hơn 1 tuần sạc 1 lần thì tới bây giờ sạc không vào pin !
Mình có gửi khiếu nại lên bộ phận cskh của shopee rồi",-2.0
Sản phẩm ko như ý. Ko hài lòng,-2.0
"Đồng hồ bé quá, cho 1*................ụwjwjejdjdjdjdjdjfj......",-2.0
Sử dụng 1 thời gian thì chỉ còn nghe đc 1 bên,-2.0
"Không đủ phụ kiện
Giao hàng lâu",-2.0
Đm ship lồn gọi nhận hàng xong hoá đơn 0đ chúng nó lấy mất,0.0
đồbg hồ hơi to rất khó chỉnh giờ,-1.0
"1- Nguyên seal mà lỗi. Cay thật!
2- Mở hộp ra cắm thử sạc 1 tiếng đồng hồ mà không lên đc nguồn là hiểu cmn rồi. Ăn quả đắng.
3- Tin tưởng shop lớn nên không quay video nên đành ôm hận.
4- Đổi trả hay bảo hành ư? Có hơn 100k mà vòng vèo thì càng cay thêm. 
5- Ước shoppee nó có chức năng 0 SAO!",-2.0
"Đặt mua 2 cái, 1 cái không điều khiển được, 1 cái phải để cách 30cm trở lại bấm mới được. Trong khi remote theo quạt để xa đến 3m vẫn dùng được.",-2.0
"Giao hàng quá lâu
Lhe nv rất mệt mỏi
Chẳng biết 9 hãng hay ko
Chuyển bài ko nhạy, nhanh hết pin
Ncl thất vọng 😞",-2.0
"Chất lượng quá tệ, nhận hàng k nguyên vẹn,bị tách rời từng miếng",-2.0
" mà mới mở hàng đã thấy sứt trên mặt đồng hồ 
Mới có 2 ngày đã không lên gì nữa tối thui",-2.0
Lúc mua về dùng được dùng được mấy tiếng thì nó lại mất số mất chữ giờ lung tung,-2.0
"Cảm thấy rất phí tiền khi mua sản phẩm này
Thứ nhất: chốt nới dây đồng hồ rất khó mở. khi mở ra được rồi thì lại không đóng lại được. cho dù đã đặt đúng khớp trên dây nhưng vẫn không ấn đóng được
Thứ 2: shop phục vụ khách rất chán. mình gặp vấn đề với sản phẩm của shop và có nhắn tin cho shop nhưng",-2.0
Mặt trong bên dưới kiểu rụng ra tới nơi. Báo shop chụp ảnh nhưng shop bảo k nhìn thấy =))),-2.0
"Giao lâu xỉu, hơn tháng mới có hàng, trước mắt thì nghe được, ổn so với giá tiền.
Tai nghe bị hư 1 bên, chỉ nghe đc 1 tai thôi nha mn, dởm, ko đáng tiền",-1.0
"Hàng cực dỡ , cấn móp ,hư nút",-2.0
Gian hàng shopee mall nhưng chất lượng quá kém. Dây siêu mỏng. Bị gậy. Mình phải mua dây để bọc vào. Giao hàng lâu có thể chấp nhận đc vì dịch bệnh. Nhưng chất lượng quá tệ. Mình đặt dây đen. Giao dây hồng. Gửi phản hồi nhưng ko thấy shop reply lại. Quá tệ khi mình ko đọc feedback trước đặt hàng.,-2.0
Shipper thái độ lồi lõm,0.0
"Remote mua đợt đầu sử dụng bình thường, mua lại lần 2, gắn pin vào mốt nhảy lung tung và tự tắt, tự bật nguồn nói chung là không sử dụng được. ",-2.0
Điều khiển ko dùng được. Đèn nháy ở điều khiển bấm còn chả nhúc nhích.,-2.0
"nố bảo hành thì đùn đẩy cho nhiều người rồi quá hạng bảo hành 7 ngày thì nói không bảo hành nữa rồi nói qua hãng này kia thì tư vấn hk tốt. nghỉ dịch rồi nói là mới mua không hêt bảo hành đâu mà lo . điện thoại mua mới cứ sau một đêm tụt 35% pin gọi thì đẩy đủ nơi để chốt bỏ. 
sản phẩm tệ",-2.0
Mới bấm 1 tý đã ko bấm được nữa :)))),-2.0
"Hàng không có giấy tờ, tem phiếu nên khả năng không phải hàng chính hãng",-2.0
"Giao hàng nhanh, khá ổn với giá 33k, nhma cho 1 sao thôi vì 5 sao là cờ Trung Quốc =))))))",1.0
"Loa bị hỏng nút bấm, k kết nối bluetooth dc nhưng shop k cho đổi. Kêu mình đến trực tiếp trong khi mình dg ở Hn mà. Loa mới xài dc có 2 ngày đã hỏng á quí zị. K nên mua",-2.0
Không dùng được,-2.0
"chất lượng sản phẩm tốt, giao hàng 5 ngày đến nơi, chỉ có 1 điều mình cực kỳ bực mình về cách giao hàng của ninja van, người giao hàng gọi cho mình không được 15p sau mình gọi lại thì đã tự động bóc hàng vứt hộp tai nghe vào trong sân, cực kỳ thất vọng về phía vận chuyển ",2.0
nắp lệh bản lề . nhấn tin shop 77 49 lần thì ko ai rep  chata lượng airpod thì ngje 2 tiếng hết pin,-2.0
Kém chất lượng,-2.0
Hàng như cục cứt kêu chống nước mà có thấy đâu mua về chưa kịp xài đã hư,-2.0
Mình đặt cái đồng hồ casio inox đen mà giao cái đồng hồ con nít này 1* cho bọn lừa lọc,-2.0
Loa không nghe được gì,-2.0
"Shop giao sai mẫu đồng hồ, thà giao sai màu còn chấp nhận chứ sai mẫu luôn thì shop cố tình rồi. Lần đầu mua của shop thấy có mall nên rất yên tâm nhưng không ngờ làm ăn chả uy tín gì cả !",-2.0
"Shipper giao hàng vào ngày mình k có mặt ở nơi nhận, nói sẽ bấm giao hàng thành công trc, hôm sau giao lại cho mình, tuy nhiên sau đó là thuê bao tắt máy, nt k rep, và hơn 2 tuần sau gọi đt đc thì bảo là số này đã đc ng khác mua lại, k nghĩ món hàng k giá trị như thế shipper chơi trò này để làm gì.",0.0
"Đồng hồ về muộn
Đẹp nhưng k chỉnh đc giờ",0.0
Shop đổi trả hay hỗ trợ gấp giúp mình. Làm sao máy lại đột tử tắt rồi không lên được,-2.0
"1/ Đơn vị giao hàng JnT rất tệ, giao hàng ko xác nhận ko gọi điện làm đơn mình thất lạc, mất 1 tuần tìm kiếm.

2/ người bán phản hồi rất chậm và không hỗ trợ

3/ máy mình dùng 1 tuần đã phải bảo hành chính hãng do lỗi kĩ thuật, rất chán (bị sập nguồn)",-2.0
"Đặt hàng, thanh toán, chờ đợi >>đơn hàng bị huỷ do shop không chuẩn bị hàng kịp. Thật sự thất vọng vì đã nhắc nhở các bạn lưu ý về thời gian giao hàng để tránh bị huỷ đơn. 
Mình cần nên mới đặt hàng, đặt 2 cái, giao 1 huỷ 1. Hy vọng bộ phận chuẩn bị hàng làm việc có trách nhiệm với KH hơn. ",-2.0
"Quay lại đánh giá 1 sao, ban đầu thì nghe ổn, nhưng không sạc được, khẳng định là không sạc được",-1.0
"Điều khiền vừa mua về cái đã hỏng luôn , dùng được đúng 1 ngày không hơn .",-2.0
"1 sao thôi, hàng đầu tiên k sáng trong tối nha
Quai đeo chỉnh hơi khó
Mở cũng khó khăn
Ch thử lửa vs nước",-2.0
Khiển cứng như đồ vứt đi,-2.0
"Sản phẩm ok.chất lượng.
Tuy nhiên nhà vận chuyển ngâm hàng của khách 1 tháng mới phát.đặt 7.10 tới 4 .11 mới phát.NVC cần xem lại cách giao hàng",2.0
Tiền nào của đó nhưng còn k đẹp bằng đồ hồ điện tử bán ở chợ!,-2.0
Hỗ trợ ko tốt 😀,-2.0
"Hàng về rồi, đang setup. Hàng đóng gói rất cẩn thận, giá tốt, mọi người nên mua.",2.0
Giao hàng siêu lâu. Loa nghe tạm ổn.,1.0
"Với giá này ko mong gì, mua giá 3tr ko tặng ốp lưng như mn, ship lâu bà cố, máy mới mà có vẻ hơi lag nhỉ?",-1.0
Giao hàng thì siêu nhanh nhưng mà đặt màu trắng thì giao màu xanh. Lần đầu đặt shopee mall tưởng uy tín nhưng thất vọng quá☹️🖕,-1.0
"shop hỗ trợ tư vấn sd nhiệt tình, nhưng cố gắng hoài cũng k gài được laii sau khi chỉnh dây, nói chung dây gài khó sử dụng mong shop cải thiện. Đồng hồ đẹp, mà phải đi thay dây mới để dùng.",-1.0
"Đóng gói cẩn thận,giao hàng hơi lâu đặt từ ngày 4 mà nay mới đến nơi",2.0
Sp xấu quá kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,-2.0
"Máy dùng nhanh hết pin, cảm ứng chậm với ko nhạy",-2.0
"Tai nghe có hộp đóng gói đầy đủ thông tin. Âm thanh ko quá tệ, ấm. Mic sử dụng được lần đầu những lần sau thì hư hẳn, cắm vào lap bị rè và dội âm. Đáng lẽ với giá như vậy phải sử dụng được mic nên khá thất vọng",-1.0
"Đặt màu đen, shop giao màu xanh, quá thất vọng. Thời gian chuẩn bị hàng của shop lâu lắm.",-2.0
"Cảm ứng hơi đơ, vài điểm sáng trên nền đen.Pin dùng được 1 ngày. Màn hình độ sáng k được cao. Giao hàng nhanh. 
Từ lúc nt mail để gửi hoá đơn bảo hành kêu chờ 3-5 ngày, đến nay hơn 10 ngày vẫn k thấy đâu mặc dù đã nhắn nhiều lần hỏi. Check imei online thì không thấy thông tin bảo hành. ",-2.0
hàng đúng chuẩn VN/A tuy nhiên đã yêu cầu bên shop gửi hoá đơn. và theo phản hồi từ 3 tới 5 ngày nhưng chờ 1 tuần vẫn không thấy. cảm thấy shop làm ăn hoá đơn chứng từ không rõ ràng. đánh giá 2** cho việc phục vụ này,-1.0
"k biết như nào nhưng hôm mình mua thì về xài rất êm và mượt, nhưng dc tầm 2 ngày tự dưng tai bên trái k nghe dc gì dù đã reset nhiều lần, dc cái xinh với pin trâu nhưng dùng k tốt lắm",0.0
hdhdhdjjdjsjsbsbsbbdndndnxnxbbxbxbxnxnxnxnnxnxncncnc,0.0
"Giao hàng lâu, đặt màu đen nhưng shop lại giao mày bạc, miếng dán màn hình bị trầy sước",-2.0
hàng của shop chất lượng kém. mua 3 sản phẩm gồm loa. củ sạc và dây .  thì 2 cái hỏng sau 3 ngày sử dụng. được mỗi củ sạc là dùng được. báo shop để đổi hàng mà chờ mãi k thấy bộ phận kho phản hồi. biết là dịch bệnh nhưng vẫn ship cod đc mà. trc có mua 1 cái màu trắng về thì loa hay tiếng xoẹt xoẹt.,-2.0
"Sản phẩm kém, chỉnh giờ không được
Quá tệ, mn ko nên mua, tiền nào của nấy
Mua về bỏ phí
Thà thêm tiền mua đồ chính hãng chất lượng
Ko nên mua",-2.0
Robert Lewandowski đến Dortmund vào hè 2010 để thay thế Lucas Barrios. Anh ngay lập tức trở thành họng pháo chủ lực khi góp công đưa Dortmund giành cú đúp danh hiệu quốc nội dưới thời Jurgen Klopp vào năm 2012,0.0
"Vẫn biết là tiền nào của nấy, nhưng giao hàng mặt kính trầy xướt hết ko chấp nhận nổi, sản phẩm nhìn cũ queo, như có người dùng rồi. Lười trả hàng hoàn tiền vì ko có quay video khui hàng, nên để dùng luôn.",-2.0
Đóng gói lỏng lẻo.shop không tôn trọng khách hàng.sp không giống hình:)),-2.0
Ggggggddddfvgrrghgghgggf vr f.  G gg g gg g gg t tggbttb tyb tbt btbt t. T ty. Bt t t ty td êv d d,0.0
"Giao hàng nhanh. Loa đẹp mà rè lắm ạ, rất rè luôn, tiền nào của nấy",-2.0
"Được nhưng hình như đã qua sd,bị xước ,bấm rất khó mà đèn ko đổi màu đc.lần t2 mua ở shop mà hơi thất vọng",-1.0
Bị vỡ mặt kính đồng hồ,-2.0
Shop đề là 7-9 ngày là có hàng mà mãi tận 20 chục ngày mới có hàng nhưng bù lại tai nghe chất lượng chất âm hơi nhỏ chơi game bị delay hơi nhiều giá thành v là ổn rồi ạ,1.0
"Remote bấm hơi có độ trễ với ít nút quá nên nhiều cái không xài được

Giao hàng J&T thật sự rất rất tệ. Giao hàng cùng Sài Gòn mà cả tuần mới nhận được. Giao nhầm ra Đà Nẵng, khiếu nại J&T trả lời cho có lệ rồi đẩy hàng tiếp ra Nghệ An luôn.
Chủ shop thì cũng không khiếu nại giúp, Shopee thì làm lơ.",-2.0
Chx giao cho mik lun 😕,0.0
Cần hủy để thay đổi đơn hàng nhưng shop vẫn cố chấp bắt buộc phải mua. Làm tôi mua k đúng hàng tôi cần,-2.0
Sản phẩm dùng được như số tiền bỏ ra. Nhưng hình như đếm nhầm mua 5 cái giao 4 cái mà thôi mua dự phòng nên cho qua. Nên mua sản phẩm này,1.0
Loa kém chất lượng. Dùng được 2 ngày bị lỗi mất tiếng. Liên hệ shop ko được xử lý. Thất vọng😥,-2.0
"Tai nghe sạc không vào, nhét cũng không vừa tai. Mình chỉ nghe được 1 bên trái",-2.0
"Dùng mấy hôm khá ổn áp, nhg chưa nhận đc hoá đơn điện tử. Nghe nói bảo hành qua hoá đơn nhg chưa hiểu có đc k.
Edit: Vẫn chưa nhận đc hoá đơn điện tử",-1.0
Sản phẩm tốt,2.0
Không khác gì cái mua vài chục ngàn,-2.0
"Màn xước,",-2.0
Loa bật to hết cỡ thì bị rè.thời lượng pin không như  quảng cáo chỉ dùng được 10-20p là hết pin,-2.0
tai nghe không thực sự tốt như mình nghĩ jsbdjdbdhdnbxxbdbbsbdbx,-1.0
1 bên dây đồng hồ đã bị đứt.,-2.0
"Hàng chính hãng đẹp, nhưng ko hiểu sao lấy từ trong hộp ra mà lại trầy nhẹ ở 2 bề mặt",0.0
"Loa âm bass nghe rất ổn trong tầm giá, nhưng shopee express giao hàng siêu rùa bò",2.0
"Giao hàng khá chậm. Đặt chủ nhật mà tới trưa thứ năm mới nhận dc hàng.

iphone đẹp lung linh. Chạy rất mượt.",2.0
"Đồng hồ mua về vứt đi, k chạy",-2.0
"Hàng chính hãng nhưng giao hang chậm, gửi hoá đơn chậm. Chăm sóc khách hàng báo sẽ gửi hđ ngay, 3 lần rồi vẫn chưa thấy hđ đâu",-1.0
Dây có mùi khó chịu rửa đi cũng ko hết. Nói chung ko thích tôi cần mua sản phẩm khác,-2.0
"Mua hàng xong nhắn tin shop không thèm trả lời 😑, chứng tỏ không quan tâm đến khách hàng .",-2.0
Giao bị thiếu 1 dây đeo shop ơi,-2.0
"tưởng mua được tai nghe giá rẻ nhưng rất thất vọng, tai nghe nghe được lần đầu đúng 15' tự động ngắt kết nối.mình tưởng hết pin nhưng khi sạc pin vào vẫn không kết nối được",-2.0
Xước nhiều nhìn như đồ cũ. giá rẻ nên chịu thôi bvyhvfghjhhggggssjj,-2.0
"Tính năng nổi bật:dởm
Chất lượng sản phẩm:tAi nghe dởm

Dởm nốt nha. Rè rè lúc nghe lúc không. Kết nối chậm.",-2.0
Bzvbsbzfzhhd tệ hại luôn,-2.0
Điện thoại dùng về chức năng thì ổn. Nhưng giao cho mình có 1 vết trầy nhỏ ở lưng. Vì việc trả hàng khá tốn tgian nên mình chấp nhận dùng luôn không trả hàng nhưng mong shop làm việc lại với ben vận chuyển để hạn chế vấn đề tương tự cho những khách hàng khác,0.0
Hàng nhận được ưng ý nhưng cách mình kh thích là thái độ của người bán rất kh chuyên nghiệp,0.0
"Ntin shop 3 ngày trloi 1 lần theo kiểu ko đọc yêu cầu của khách.  Nhắn mãi, nhắn mãi ko hồi âm luôn. Ko hiểu thế này thì bán buôn kiểu gì",-2.0
Không phải hàng chính hãng chỉ là hàng lô,-2.0
Hàng ko đẹp như lúc đầu mùa có chỗ dơ mặt đồng hồ bị vàng còn bị công hay nhảy giờ NS chung cũng tạm đc,1.0
"Vận chuyển chậm, sai giờ",-2.0
Nút volume bị lún vô sâu và bấm lúc được lúc không,-2.0
"Không suất được hoá đơn điện tử. 
Nên mình cũng không biết có được bảo hành như thông tin giao bán ko. Và nếu được bảo hành thì làm thế nào để liên hệ. 
Nên cho 2 sao ⭐️ ",-2.0
"Sản phẩm thật sự không tốt nha mn.Dây đồng hồ rất cứng, chỗ cài không chắc chắn. Với mức giá này thì thật sự chất lượng quá tệ🙂",-2.0
Loa nhận về đã bị bể hên mở lên test thì xài vẫn được :( mọi người mua hàng tốt nhất lúc khui hàng quay video để hư hao có cái gửi khiếu nại. Mình khui ra thấy bể mới quay video test loa nên k có video khui seal 😂,0.0
Hàng đóng gói cẩn thận lắm . Nhưng tiếc cái là không dc tư vấn kỹ càng nên mua lầm,0.0
Shop giao sản phẩm sai hàng lỗi thất vọng thật sự mà cong là shopee mail,-2.0
Cho hỏi chỉnh s vậy,0.0
"Loa dè lắm. Bề mặt tráng gương ko đc sáng, nhiều vế xước. Thằng em nài nỉ mãi nên mới mua, chứ mấy đồ này vào thế giới di động mà mua cho chuẩn",-2.0
"Đặt đen giao bạc, chánnnnnnnnnnn. Ảnh với vid để nhận xu thôi",-2.0
Đã nhận hàng hình thức đẹp nhưng quảng cáo mặt trống sước mà xước lung tung cho 2 sao,0.0
Hơi thất vọng shop giao thiếu nhưng tính tiền 2 cái:( nhẫn thì k đẹp như mình nghĩ đóng gói sơ sài mong shop lần sau chú ý hơn lần đầu mình gặp trường hợp như này:<,-2.0
Hàng phù hợp vs giá tiền,2.0
K hỗ trợ khách hàng,-2.0
"Chất liệu:kim loại
Màu sắc:bạc
Đúng với mô tả:gần đúng, dây lỗi

Dây đeo k ôm tay, 1 bên dây mắt xích quá khít nên khó gập, có thể do đồng hồ này lỗi",-1.0
"huhu, mình đặt màu đen shop giao màu xanh:((",-2.0
Giao hàng quá lâu,0.0
Bị lỗi loa,-2.0
Loa k bấm đc nút tăng giảm âm lượng. Mấy cái rview bảo loa tốt k biết ntn. Test mấy hôm rồi. Loa có tiếng rè rè. Thất vọng.,-2.0
"Làm ăn tác trách đặt 2c giao có 1c,sau bao nhiêu ngày k.hàng ib kêu giải quyết thì cũng chỉ ậm ừ cho qua,bảo khách đặt lại để gửi bù,gửi bù rồi mà k bù tiền thi khác nào khách đi mua thêm 1c 53k với tiền của đơn thiếu kia,cứ lấy lý do nhiều đơn nên nhầm,Ủa thế có 2c con gửi thiếu1c,100c có mà toang",-2.0
"Update: Sau khi dùng 2 tuần đã gặp lỗi chập chờn mic thu âm và bị reset counter không rõ lý do . Thất vọng về sản phẩm, giờ không biết có được đổi lại máy không nữa hic ?",-2.0
"Mặt đồng hồ rất dễ xước không như cam kết
 chống nước thì ok",-1.0
Đúng là tiền nào của nấy đó ạ,-2.0
"Trả tiền nhận tại Door nhưng phải ghé Bưu cục lấy. Vì bên VC nói là ""Rule"" và bưu cục mới có camera để đồng kiểm. Cũng may là mua  điện thoại. Mua iMac không biết chở kiểu gì.",0.0
"Lâu lắm r mua shoppe mới bị fail như này , loa Bluetooth ko dùng đc mà hình như là hư loa luôn vì coi clip thấy có giọng nói mà mình ko hề có. Coi giờ thì ok",-2.0
Đặt màu đen ship cái thất vọng về shop quá,-2.0
Hư 1 cái,-2.0
Không giống trên hình ?,-2.0
Nhắn tin không trả lời. Huỷ hàng vẫn ship. Loa nhỏ như loa điện thoại.,-2.0
"Sức sắc nha, nhưng giao hàng quá quá lâu, đặt đầu tiên trong đêm 15/3, nhận cuối cùng luôn, trong khi những đơn khác cũng ở HCM thì giao từ lâu rồi, chưa đánh giá xong thì đã ấn chọn nên mất 200 xu rồi 😢😢",0.0
"Shop k đưa kèm phiếu bảo hành, còn tai nghe dungg tạm ổn, phản hồi khách hàng chậm",-1.0
Chư j đã bun nút rài ra rôi,-2.0
"Sản phẩm giao nhanh hơn dự kiến, check imei chuẩn Apple. Kích hoạt được từ ngày mua. Tuy nhiên khi liên lạc vì thấy sản phẩm hơi cọc cạch thì ko nhận được hồi âm từ shop",-1.0
"Tai nghe to, nặng, đeo vào mỏi tai.
Đặt mua màu đỏ, dây đỏ nhưng giao tai xanh, dây đen.
Thắc mắc không được phản hồi.",-2.0
hawryuioooasfhjklzvnmlnvgkdsxof lpphfđxnk kgxnlieeexvj uolngdssupo sừnkogfblp hjklfes nh,0.0
"Đóng gói và giao hàng quá chậm. 
Lần đầu tiên đặt đơn hàng 10 ngày mới giao tới. 
Không cho chọn đơn vị giao hàng khác ngoài shopee express.",-2.0
"Giao hàng nhanh, đóng gói kỹ săn đc giá tốt có điều mãi vẫn chưa thấy hoá đơn dù cả tháng rồi 🙂",1.0
"Điện thoại dùng tốt r, nhưng cái thái độ phục vụ khách hàng thì k chấp nhận đc. Nhận hàng 1 tháng r, hoá đơn điện tử thì k gửi cho khách, khất lên khất xuống. Vớ va vớ vẩn",-2.0
"Loa nghe ổn, to nhưng mà chỉ dùng khi cắm sạc, rút ra thì coi như mất. Shop cũng nói trả hàng hoàn tiền nhưng mình ngại rắc rối với đổi trả nên thôi dùng tạm.",1.0
"Dùng tốt ok bấm nhạy
..................................",2.0
"Hàng chuẩn, chính hãng, active bảo hành luôn. Hoá đơn về trước khi giao hàng. Shop k có nhân viên trực tư vấn hay sao ý? Ship lâu, mình đặt 20 ngày mới nhận được đt may k bị ảnh hưởng việc trả góp. Nên xem lại đvvc??? Om hàng từ 20/9 đến 7/10 mới giao, gọi tổng đàu chỉ biết xin lỗi và thông cảm???",2.0
"Hàng mã VN/A, đóng gói cẩn thận tuy nhiên không biết bảo hành thì thế nào? Máy tự kích hoạt và bảo hành điện tử hay phải có hóa đơn điện tử của bên bán? Chat không thấy ai phản hồi.",-1.0
Mặt đồng hồ xước hết,-2.0
"Sp dc thoi nha
Ko xài dc
Mà lỡ rồi nên thôi.
Ko dc lắm
Ship mắc nữa",-2.0
Lúc đầu tức mới mua về Sài khá ổn nhưng mà sang hôm thứ 2 thì pin tuột nhanh lắm nhanh kinh khủng loa hơi rè nữa mọi người cân nhắc khi mua,-1.0
Giao hàng nhanh. Mình đặt viền trắng dây trắng để phối đồ. Giao dây đen.. cũng không biết phải làm sao luôn. Đồng hồ bạc thì chốt lỏng 😌,-2.0
